Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",4,4.17,Knopf,Paperback,607,1997,1994,2011/01/15,2010/05/09,,,read,,,,,,,0,,,,,
15924,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)",Nicholas Sparks,"Sparks, Nicholas",,"=""0446698466""","=""9780446698467""",3,3.81,Grand Central Publishing,Paperback,204,2006,2004,2010/05/09,2010/04/23,,,read,,,,,,,0,,,,,
6030598,Last Lion: The Fall and Rise of Ted Kennedy,Peter S. Canellos,"Canellos, Peter S.",,"=""1439138176""","=""9781439138175""",0,3.98,Simon & Schuster,Hardcover,464,2009,2009,2011/12/31,2010/04/19,shelved,shelved (#2),read,,,,,,,0,,,,,
6400090,The Last Song,Nicholas Sparks,"Sparks, Nicholas",,"=""0446547565""","=""9780446547567""",4,4.14,Grand Central Publishing,Hardcover,390,2009,2008,2010/04/19,2010/04/10,,,read,,,,,,,0,,,,,
82748,Sushi for Beginners,Marian Keyes,"Keyes, Marian",,"=""0060555955""","=""9780060555955""",3,3.69,William Morrow Paperbacks,Paperback,448,2008,2000,2010/04/10,2010/03/22,,,read,Really hated it when I first started but the last quarter of the book made it worth while. ,,,,,,0,,,,,
426775,Chasing Harry Winston,Lauren Weisberger,"Weisberger, Lauren",,"=""0743290119""","=""9780743290111""",4,3.31,Simon & Schuster,Hardcover,288,2008,2008,2012/01/01,2010/03/19,,,read,,,,,,,0,,,,,
15926,Nights in Rodanthe,Nicholas Sparks,"Sparks, Nicholas",,"=""0446612707""","=""9780553813951""",3,3.82,Warner Books,Paperback,222,2004,2002,2010/03/19,2010/03/12,,,read,,,,,,,0,,,,,
282773,Olive's Ocean,Kevin Henkes,"Henkes, Kevin",,"=""0060535458""","=""9780060535452""",4,3.79,Greenwillow Books,Paperback,217,2005,2001,,2010/03/12,,,read,,,,,,,0,,,,,
123543,"The Bourne Legacy (Jason Bourne, #4)",Eric Van Lustbader,"Lustbader, Eric Van",,"=""0312999526""","=""9780312999520""",3,3.86,St. Martin's Paperbacks,Paperback,597,2005,2003,2010/03/19,2010/03/10,,,read,Hard to follow all the details. But I really loved how the story developed even though the ending was predictable. ,,,,,,0,,,,,
1491906,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,Sudhir Venkatesh,"Venkatesh, Sudhir",,"=""1594201501""","=""9781594201509""",4,4.00,Penguin Press,Hardcover,302,2008,2008,2010/02/17,2010/02/17,,,read,Great story-teller. I can't put the book down!,,,,,,0,,,,,
82006,The Human Experiment: Two Years and Twenty Minutes Inside Biosphere 2,Jane Poynter,"Poynter, Jane",,"=""156025775X""","=""9781560257752""",0,3.50,Basic Books,Hardcover,384,2006,2006,,2009/12/04,to-read,to-read (#5),to-read,,,,,,,0,,,,,
34295,Whitethorn Woods,Maeve Binchy,"Binchy, Maeve",,"=""0307265781""","=""9780307265784""",4,3.58,Knopf Publishing Group,Hardcover,339,2007,2006,2010/01/01,2009/12/04,,,read,,,,,,,0,,,,,
7035,"Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400031362""","=""9781400031368""",4,3.97,Random House Anchor,Paperback,227,2002,2001,2009/12/04,2009/11/12,,,read,,,,,,,0,,,,,
13747,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living",Julie Powell,"Powell, Julie",,"=""031610969X""","=""9780316109697""",3,3.66,Little Brown and Company,Hardcover,310,2005,2005,2009/11/12,2009/09/15,,,read,,,,,,,0,,,,,
7039,"Tears of the Giraffe (No. 1 Ladies' Detective Agency, #2)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""0349116652""","=""9780349116655""",5,3.95,Abacus,Paperback,217,2003,2000,2009/11/04,2009/09/15,,,read,,,,,,,0,,,,,
97898,"The Full Cupboard of Life (No. 1 Ladies' Detective Agency, #5)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400031818""","=""9781400031818""",4,4.02,Anchor,Paperback,198,2005,2003,2009/09/15,2009/09/08,,,read,,,,,,,0,,,,,
1812457,The Shack,William Paul Young,"Young, William Paul",,"=""0964729237""","=""9780964729230""",4,3.73,Windblown Media,Paperback,252,2007,2007,,2009/06/26,,,read,,,,,,,0,,,,,
191113,Don't Let the Pigeon Drive the Bus!,Mo Willems,"Willems, Mo",,"=""1844280136""","=""9781844280131""",5,4.29,Walker Books Ltd,Hardcover,40,2004,2003,,2009/05/23,,,read,,,,,,,0,,,,,
515905,"Knuffle Bunny Too: A Case of Mistaken Identity (Knuffle Bunny, #2)",Mo Willems,"Willems, Mo",,"=""1423102991""","=""9781423102991""",5,4.28,Disney-Hyperion,Hardcover,42,2007,2007,,2009/05/23,,,read,,,,,,,0,,,,,
490867,"Knuffle Bunny: A Cautionary Tale (Knuffle Bunny, #1)",Mo Willems,"Willems, Mo",,"=""1844280594""","=""9781844280599""",5,4.26,Walker Books Ltd,Hardcover,32,2005,2004,,2009/05/23,,,read,,,,,,,0,,,,,
537296,"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,"Lobel, Arnold",,"=""0064440206""","=""9780064440202""",4,4.18,HarperCollins,Paperback,64,2003,1970,,2009/05/23,,,read,,,,,,,0,,,,,
331701,Stone Soup,Jon J. Muth,"Muth, Jon J.",,"=""043933909X""","=""9780439339094""",5,4.14,Scholastic Press,Hardcover,32,2003,2003,,2009/05/23,,,read,,,,,,,0,,,,,
3002299,I Got Two Dogs,John Lithgow,"Lithgow, John",Robert Neubecker,"=""1416958819""","=""9781416958819""",5,3.93,Simon  Schuster Books for Young Readers,Hardcover,29,2008,2008,,2009/05/23,,,read,,,,,,,0,,,,,
867248,Bear Snores On,Karma Wilson,"Wilson, Karma",Jane Chapman,"=""0689831870""","=""9780689831874""",5,4.24,Margaret K. McElderry Books,Hardcover,1,2002,2002,,2009/03/29,,,read,,,,,,,0,,,,,
2074563,Otis and Rae and the Grumbling Splunk,Laura  Espinosa,"Espinosa, Laura",Leo Espinosa,"=""061898206X""","=""9780618982066""",5,3.72,HMH Books for Young Readers,Hardcover,32,2008,2008,,2009/03/29,,,read,,,,,,,0,,,,,
756631,The Fantastic Mr. Wani,Kanako Usui,"Usui, Kanako",,"=""1589250540""","=""9781589250543""",5,3.67,Tiger Tales,Hardcover,40,2006,2005,,2009/03/29,,,read,,,,,,,0,,,,,
196924,"Owly, Vol. 1:  The Way Home & The Bittersweet Summer (Owly, #1)",Andy Runton,"Runton, Andy",,"=""1891830627""","=""9781891830624""",5,4.06,Top Shelf Productions,Paperback,160,2004,2004,,2009/03/29,,,read,,,,,,,0,,,,,
196927,"Owly, Vol. 4:  A Time to Be Brave (Owly, #4)",Andy Runton,"Runton, Andy",,"=""1891830899""","=""0001891830899""",5,4.18,Top Shelf Productions,Paperback,120,2007,2007,,2009/03/29,,,read,,,,,,,0,,,,,
196926,"Owly, Vol. 3: Flying Lessons (Owly, #3)",Andy Runton,"Runton, Andy",,"=""1891830767""","=""9781891830761""",5,4.25,Top Shelf Productions,Paperback,128,2006,2005,,2009/03/29,,,read,,,,,,,0,,,,,
3280062,Wonder Bear,Tao Nyeu,"Nyeu, Tao",,"=""0803733283""","=""9780803733282""",5,3.94,Dial Books,Hardcover,48,2008,2008,,2009/03/29,,,read,,,,,,,0,,,,,
4682558,The Book of Night Women,Marlon James,"James, Marlon",,"=""1594488576""","=""9781594488573""",0,4.32,Riverhead Books,Hardcover,417,2009,2009,,2009/03/27,to-read,to-read (#4),to-read,,,,,,,0,,,,,
146198,Hannah Coulter,Wendell Berry,"Berry, Wendell",,"=""1593760787""","=""9781593760786""",4,4.26,Shoemaker & Hoard,Paperback,190,2005,2004,2009/05/23,2009/03/27,,,read,,,,,,,0,,,,,
136267,Piece of Work,Laura Zigman,"Zigman, Laura",,"=""044657838X""","=""9780446578387""",4,2.94,Warner Books,Hardcover,304,2006,2006,2009/03/26,2009/02/24,,,read,"Fast, funny read. Not a big fan of her long over-involved sentences. But overall, the book was entertaining.",,,,,,0,,,,,
976,Deception Point,Dan Brown,"Brown, Dan",,"=""0671027387""","=""9780671027384""",4,3.66,Pocket Books,Paperback,556,2002,2001,2005/04/01,2009/02/01,,,read,,,,,,,0,,,,,
2341781,The Forbidden City,Geremie R. Barmé,"Barmé, Geremie R.",,"=""0674027795""","=""9780674027794""",0,3.55,Harvard University Press,Hardcover,288,2008,2008,,2009/02/01,to-read,to-read (#3),to-read,,,,,,,0,,,,,
43641,Water for Elephants,Sara Gruen,"Gruen, Sara",,"=""1565125606""","=""9781565125605""",5,4.07,Algonquin Books,Paperback,335,2007,2006,2009/02/22,2009/01/28,,,read,"Wonderful book, a fast read. Loved the ending.",,,,,,0,,,,,
16183,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)",Philippa Gregory,"Gregory, Philippa",,"=""0743269268""","=""9780743269261""",3,3.69,Simon & Schuster,Paperback,441,2005,2004,,2008/11/18,,,read,,,,,,,0,,,,,
323201,Men and Angels,Mary Gordon,"Gordon, Mary",,"=""0345329252""","=""9780345329257""",3,3.50,Ballantine Books,Mass Market Paperback,416,1986,1985,,2008/11/18,,,read,,,,,,,0,,,,,
9517,"Persepolis 2: The Story of a Return (Persepolis, #2)",Marjane Satrapi,"Satrapi, Marjane",Anjali Singh,"=""0375714669""","=""9780375714665""",5,4.23,Pantheon,Paperback,187,2005,2001,2008/11/18,2008/11/01,,,read,Another recommendation from hubby,,,,,,0,,,,,
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",5,4.22,Pantheon,Paperback,153,2004,2000,2008/10/30,2008/10/23,,,read,Recommended by hubby. Fast read. I learned a lot about Iran!,,,,,,0,,,,,
2865,Girl with a Pearl Earring,Tracy Chevalier,"Chevalier, Tracy",,"=""0452287022""","=""9780452287020""",4,3.84,Plume/Penguin,Paperback,233,2005,1999,2008/12/03,2008/10/23,,,read,I've read this one before a couple of years ago.,,,,,,0,,,,,
3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"Pollan, Michael",,"=""1594200823""","=""9781594200823""",0,4.17,The Penguin Press,Hardcover,451,2006,2006,,2008/10/10,to-read,to-read (#1),to-read,,,,,,,0,,,,,
228345,The Orchid Thief: A True Story of Beauty and Obsession,Susan Orlean,"Orlean, Susan",,"=""044900371X""","=""9780449003718""",2,3.69,Ballantine Books,Paperback,284,2000,1998,,2008/10/08,,,read,,,,,,,0,,,,,
1103,Snow Flower and the Secret Fan,Lisa See,"See, Lisa",,"=""0812968069""","=""9780812968064""",5,4.05,Random House ,Paperback,269,2006,2005,,2008/09/30,,,read,,,,,,,0,,,,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""1594480001""","=""9781594480003""",5,4.25,Riverhead Books,Paperback,391,2004,2003,,2008/09/30,,,read,,,,,,,0,,,,,
50398,Northanger Abbey,Jane Austen,"Austen, Jane",Alfred MacAdam,"=""1593082649""","=""9781593082642""",4,3.80,Barnes  Noble Classics,Paperback,251,2005,1817,,2008/09/30,,,read,,,,,,,0,,,,,
45032,Mansfield Park,Jane Austen,"Austen, Jane","Kathryn Sutherland, Tony Tanner, Claire Lamont","=""0141439807""","=""9780141439808""",4,3.83,Penguin,Paperback,560,2003,1814,,2008/09/30,,,read,,,,,,,0,,,,,
2156,Persuasion,Jane Austen,"Austen, Jane","James Kinsley, Deidre Shauna Lynch","=""0192802631""","=""9780192802637""",4,4.13,Oxford University Press,Paperback,249,2004,1817,,2008/09/30,,,read,,,,,,,0,,,,,
827524,Emma (York Notes Advanced),York Notes,"Notes, York",Jane Austen,"=""1405801727""","=""9781405801720""",5,4.32,Pearson Education Canada,Paperback,128,2005,,,2008/09/30,,,read,,,,,,,0,,,,,
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Tony Tanner, Ros Ballaster","=""0141439661""","=""9780141439662""",5,4.06,Penguin Books,Paperback,409,2003,1811,,2008/09/30,,,read,,,,,,,0,,,,,
32264,The Family That Couldn't Sleep: A Medical Mystery,D.T. Max,"Max, D.T.",,"=""1400062454""","=""9781400062454""",4,3.88,Random House (NY),Hardcover,299,2006,2006,,2008/09/30,,,read,,,,,,,0,,,,,
25460,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,"Kingsolver, Barbara","Steven L. Hopp, Camille Kingsolver, Richard A. Houser","=""0060852550""","=""9780060852559""",5,4.03,HarperCollins Publishers,Hardcover,370,2007,2007,,2008/09/30,,,read,,,,,,,0,,,,,
44259,A Year in Provence,Peter Mayle,"Mayle, Peter",,"=""0140296034""","=""9780140296037""",4,3.94,Penguin,Paperback,210,2000,1989,,2008/09/30,,,read,,,,,,,0,,,,,
1984673,A Home in the Heart of the City,Kathleen Hirsch,"Hirsch, Kathleen",,"=""0865475504""","=""9780865475502""",4,3.63,North Point Press,Paperback,272,1999,1999,,2008/09/30,,,read,,,,,,,0,,,,,
122,"The Power of One (The Power of One, #1)",Bryce Courtenay,"Courtenay, Bryce",,"=""034541005X""","=""9780345410054""",4,4.34,Ballantine Books,Paperback,544,1996,1989,,2008/09/30,,,read,,,,,,,0,,,,,
5015,Saturday,Ian McEwan,"McEwan, Ian",,"=""1400076196""","=""9781400076192""",4,3.61,Anchor,Paperback,289,2006,2005,,2008/09/30,,,read,,,,,,,0,,,,,
46756,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"Atwood, Margaret",,"=""0385721676""","=""9780385721677""",5,4.00,Anchor,Paperback,400,2004,2003,,2008/09/30,,,read,,,,,,,0,,,,,
12786,The City of Falling Angels,John Berendt,"Berendt, John",,"=""0143036939""","=""9780143036937""",4,3.52,Penguin Books,Paperback,414,2006,2005,,2008/09/30,,,read,,,,,,,0,,,,,
514313,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,"Mezrich, Ben",,"=""0743225708""","=""9780743225700""",5,3.87,Free Press,Hardcover,272,2002,2002,,2008/09/30,,,read,,,,,,,0,,,,,
7061,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400034779""","=""9781400034772""",5,3.75,Anchor,Paperback,235,2003,1998,,2008/09/30,,,read,,,,,,,0,,,,,
62081,"Flower Confidential: The Good, the Bad, and the Beautiful in the Business of Flowers",Amy  Stewart,"Stewart, Amy",,"=""1565124383""","=""9781565124387""",5,3.92,Algonquin Books,Hardcover,306,2007,2007,2009/02/01,2008/09/30,,,read,"Love, love, love this book. Great light reading - wonderful non-fiction.",,,,,,0,,,,,
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,"Mortenson, Greg",David Oliver Relin,"=""0143038257""","=""9780143038252""",5,3.64,Penguin ,Paperback,349,2007,2006,2008/10/23,2008/09/30,,,read,What an inspirational story. I had no idea who Greg Mortenson was until I read this book. I hope that he and CAI will continue to promote education in the Central Asia and beyond. Everyone should read this book!,,,,,,0,,,,,
7445,The Glass Castle: A Memoir,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",4,4.23,Scribner,Paperback,288,2006,2005,,2008/09/30,,,read,,,,,,,0,,,,,
38447,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",4,4.05,Anchor Books,Paperback,311,1998,1985,,2008/09/30,,,read,,,,,,,0,,,,,
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",4,4.10,Penguin,Paperback,507,2003,1847,,2008/09/30,,,read,,,,,,,0,,,,,
10917,My Sister's Keeper,Jodi Picoult,"Picoult, Jodi",,"=""0743454537""","=""9780743454537""",3,4.06,Washington Square Press,Paperback,423,2005,2004,,2008/09/30,,,read,,,,,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",4,3.81,HarperCollins,Paperback,197,1993,1988,2016/04/04,2008/09/30,,,read,,,,,,,0,,,,,
