Time,Temp,Year
0,55,2015
13,71,2015
22,86,2015
26,93,2015
33,104,2015
56,129,2015
68,140,2015
83,149,2015
98,156,2015
104,160,2015
108,162,2015
0,49,2016
7,47,2016
12,50,2016
18,52,2016
24,55,2016
28,58,2016
33,63,2016
37,67,2016
41,72,2016
59,95,2016
65,103,2016
77,118,2016
84,122,2016
91,133,2016
94,135,2016
94,136,2016
101,152,2016
107,149,2016
112,152,2016
118,158,2016
120,160,2016
126,162,2016
